,Start,Finish,Name of Conflict
258,1916,1917,Kaocen Revolt
259,1916,1916,1916 Cochinchina uprising
260,1916,1916,Battle of Segale
261,1916,1916,Noemvriana
262,1916,1916,Central Asian revolt of 1916
263,1916,1916,Easter Rising
264,1916,1924,United States occupation of the Dominican Republic (1916–24)Part of the Banana Wars
265,1916,1918,Arab RevoltPart of World War I
266,1916,1934,Basmachi movementPart of World War I and Russian Civil War
267,1917,1917,Uukwanyama rebellion[8]
268,1917,1917,1917 Uganda rebellion[5]
269,1917,1917,Kurdish uprisings of 1917
270,1917,1917,February Revolution
271,1917,1917,July Days
272,1917,1917,Operations against the Mahsuds (1917)
273,1917,1917,Manchu Restoration
274,1917,1917,Thái Nguyên uprising
275,1917,1917,Polubotkivtsi Uprising
276,1917,1917,Toplica insurrection
277,1917,1918,1917 Kanak revolt [fr]
278,1917,1917,Kornilov Affair
279,1917,1917,Green Corn Rebellion
280,1917,1917,October RevolutionPart of Russian Civil War
281,1917,1917,Kerensky–Krasnov uprisingPart of Russian Civil War
282,1917,1922,Russian Civil War
283,1917,1922,Constitutional Protection Movement
284,1917,1921,Ukrainian War of IndependencePart of World War I and Russian Civil War
285,1917,1949,Ngolok rebellions (1917–49)
286,1918,1918,Operations against the Marri and Khetran tribes (1918)[64]Part of the instability on the North-West Frontier
287,1918,1918,Adubi War
288,1918,1922,Simko Shikak revolt (1918–22)
289,1918,1918,Judenburg mutinyPart of World War I
290,1918,1918,Cattaro MutinyPart of World War I
291,1918,1918,Aster RevolutionPart of World War I
292,1918,1918,Radomir RebellionPart of World War I
293,1918,1918,Left SR uprisingPart of the Russian Civil War
294,1918,1918,Finnish Civil War
295,1918,1918,Georgian–Armenian War
296,1918,1958,Polish–Czechoslovak border conflicts
297,1918,1918,Internal conflict in the Banat Republic
298,1918,1918,Serbian incursion into the Banat Republic
299,1918,1918,Viena expedition
300,1918,1918,First Pechenga expedition
301,1918,1919,Austro-Slovene conflict in Carinthia
302,1918,1919,German Revolution of 1918–19
303,1918,1919,Greater Poland Uprising (1918–19)
304,1918,1919,Hungarian–Czechoslovak War
305,1918,1919,Polish–Ukrainian WarPart of the Ukrainian War of Independence
306,1918,1920,Georgian–Ossetian conflict (1918–20)Part of the Russian Civil War
307,1918,1919,Sochi conflictPart of the Russian Civil War
308,1918,1920,Armenian–Azerbaijani WarPart of the Russian Civil War
309,1918,1920,Estonian War of IndependencePart of the Russian Civil War
310,1918,1920,Latvian War of IndependencePart of the Russian Civil War
311,1918,1919,Lithuanian–Soviet WarPart of the Lithuanian Wars of Independence
312,1918,1919,Al-Khurma disputePart of the Unification of Saudi Arabia
313,1918,1921,War of the Insane
314,1918,1920,Revolt of the Ingrian Finns
315,1918,1921,Franco-Turkish WarPart of the Turkish War of Independence
316,1919,1923,Second Yemeni–Asiri War[50]
317,1919,1919,Toli-Toli incident[6]
318,1919,1919,Garut incident[6]
319,1919,1919,Punjab Rebellion[65] (See: Amritsar Massacre) Part of the instability on the North-West Frontier
320,1919,1919,Black Sea mutiny
321,1919,1919,1919 Royalist uprising in Northern Portugal
322,1919,1919,Christmas Uprising
323,1919,1919,Spartacist uprisingPart of the German Revolution of 1918–19
324,1919,1919,Lithuanian War of Independence (War against the Bermontians)Part of the Lithuanian Wars of Independence
325,1919,1919,Sejny Uprising
326,1919,1919,First Barzanji Revolt
327,1919,1919,Polish–Czechoslovak WarPart of the Polish–Czechoslovak border conflicts
328,1919,1919,Khotyn Uprising
329,1919,1919,Hungarian–Romanian war of 1919
330,1919,1922(Armistice)1923(Treaty),Turkish War of Independence
331,1919,1919,Third Anglo-Afghan War
332,1919,1920,Waziristan campaign (1919–1920)
333,1919,1919,Impresa di Fiume
334,1919,1920,Italo-Yugoslav War
335,1919,1919,First Honduran Civil War
336,1919,1921,Polish–Soviet War
337,1919,1919,First Silesian UprisingPart of the Silesian Uprisings
338,1919,1919,Aunus expedition
339,1919,1920,Alawite Revolt of 1919
340,1919,1921,Irish War of Independence
341,1919,1920,Kuwait–Najd War
342,1919,1922,Greco-Turkish War (1919–1922)Part of the Turkish War of Independence
343,1919,1923,Revolts during the Turkish War of Independence
344,1920,1920,Franco-Syrian War
345,1920,1920,1920 uprising in Afghanistan[66]
346,1920,1920,Misurata-Warfalla War[67]
347,1920,1920,Husino rebellion
348,1920,1920,1920 Iraqi Revolt
349,1920,1920,Vlora War
350,1920,1922,1920–1922 Jabal al-Gharbi civil war
351,1920,1920,Polish–Lithuanian WarPart of the Lithuanian Wars of Independence
352,1920,1920,Kapp Putsch
353,1920,1920,Ruhr Uprising
354,1920,1920,Second Silesian UprisingPart of the Silesian Uprisings
355,1920,1920,1920 Georgian coup attempt
356,1920,1920,May Uprising
357,1920,1920,Turkish–Armenian WarPart of the Turkish War of Independence
358,1920,1920,Zhili–Anhui War Part of the Warlord Era
359,1920,1920,Second Pechenga expedition
360,1920,1921,Guangdong–Guangxi War Part of the Warlord Era
361,1920,1921,Dagestan UprisingPart of the Russian Civil War
362,1920,1926,Rif War
363,1920,1920,1920 Upper Asir conflict[50]
364,1921,1921,1921 Khorosan rebellion[68]
365,1921,1921,Kurdish uprising of Autumn 1921[47]
366,1921,1921,Waziristan campaign (1921–1924)
367,1921,1921,Anti-fascist uprising in Albona
368,1921,1921,Red Army invasion of GeorgiaPart of the Russian Civil War
369,1921,1921,Kronstadt rebellionPart of the Russian Civil War
370,1921,1921,February UprisingPart of the Russian Civil War
371,1921,1921,Coto War
372,1921,1921,Battle of Mountainous ArmeniaPart of the Russian Civil War
373,1921,1921,March Action
374,1921,1921,Third Silesian UprisingPart of the Silesian Uprisings
375,1921,1921,Mongolian Revolution of 1921Part of Russian Civil War
376,1921,1921,Charles I of Austria's attempts to retake the throne of Hungary
377,1921,1921,Uprising in West Hungary
378,1921,1921,Malabar rebellion
379,1921,1921,1921 Persian coup d'etat
380,1921,1921,Conquest of Ha'il
381,1921,1922,East Karelian Uprising and Soviet–Finnish conflict 1921–22Part of Russian Civil War
382,1921,1922,Rand Rebellion
383,1921,1923,Kura Rebellion
384,1921,1921,Ikhwan attack on Najran[69]
385,1922,1922,18 of the Copacabana Fort revolt
386,1922,1922,1922 bombardment of Yemen[70]
387,1922,1924,Ikhwan raids on Transjordan
388,1922,1922,Bondelswarts Rebellion
389,1922,1922,San rebellion[8]
390,1922,1922,1922 Uukwambi revolt[8]
391,1922,1922,First Zhili–Fengtian War Part of the Warlord Era
392,1922,1924,Rampa Rebellion of 1922
393,1922,1922,11 September 1922 Revolution
394,1922,1923,Irish Civil War
395,1922,1923,Paraguayan Civil War (1922)
396,1922,1924,Sheikh Khazal rebellion Part of the Arab separatism in Khuzestan
397,1922,1924,Second Barzanji Revolt
398,1922,1927,Tenente revolts
399,1923,1941,Aden Protectorate Insurgency[70]
400,1923,1923,Alizai rebellion of 1923
401,1923,1923,Corfu incident
402,1923,1923,Guna revolution [es]
403,1923,1923,De la Huerta Rebellion [es][72][73]
404,1923,1923,June Uprising
405,1923,1923,Leonardopoulos–Gargalidis coup d'état attempt
406,1923,1923,Adwan Rebellion
407,1923,1923,Posey War
408,1923,1923,Hamburg Uprising
409,1923,1923,Beer Hall Putsch
410,1923,1923,Klaipėda Revolt
411,1923,1923,September Uprising
412,1923,1932,Pacification of Libya
413,1923,2022,Arab separatism in Khuzestan
414,1924,1925,Chechen uprising of 1924[74]
415,1924,1925,Turkoman Rebellion in Eastern Iran[75]
416,1924,1924,Paulista Revolt of 1924
417,1924,1924,Beytussebab rebellion
418,1924,1924,Zazejskie uprising [ru]
419,1924,1924,Second Honduran Civil War
420,1924,1925,Khost rebellion (1924–1925)
421,1924,1928,1924–1928 Saqqawist insurgency in Afghanistan Escalated into the Afghan Civil War
422,1924,1924,Vaalgras revolt[8]
423,1924,1924,August Uprising
424,1924,1925,Tungus uprising [ru]
425,1924,1924,June Revolution
426,1924,1924,1924 Estonian coup d'état attempt
427,1924,1924,Tatarbunary Uprising
428,1924,1925,Saudi conquest of Hejaz
429,1924,1924,Nestorian rebellion
430,1924,1924,Second Zhili–Fengtian War Part of the Warlord Era
431,1924,1926,Third Yemeni–Asiri War[50]
432,1924,1924,First Asiri Civil War[50]
433,1925,1925,1925 Rehoboth Basters rebellion[8]
434,1925,1925,Incident at Petrich
435,1925,1925,Sheikh Said rebellion
436,1925,1925,Pink's War
437,1925,1925,Raçkotan and Raman pacifying operations[79]
438,1925,1937,Sason rebellion[79]
439,1925,1929,Zaraniq rebellion (1925–1929)
440,1925,1927,Great Syrian Revolt
441,1925,1926,Anti-Fengtian War Part of the Warlord Era
442,1925,1926,Urtatagai conflict
443,1925,1926,Second Asiri Civil war[50]
444,1926,1926,Asiri tribal revolts of 1926[50]
445,1926,1927,Tarimese Civil War[80]
446,1926,1926,1926 Simko Shikak revolt
447,1926,1927,Nicaraguan civil war (1926-1927)
448,1926,1928,Northern Expedition Part of the Warlord Era
449,1926,1929,Cristero War
450,1926,1926,1926 Communist Revolt in Indonesia
451,1927,1927,1927 Nuer uprising[1]
452,1927,1930,Ararat rebellion
453,1927,1930,Ikhwan Revolt
454,1927,1927,1927 Kurdish rebellions[79]
455,1927,1927,Ikhwan raid on Busayya Part of the Ikhwan revolt
456,1927,1950,Chinese Civil War
457,1928,1935,Persian conquest of West Baluchistan[81][82][83][84]
458,1928,1932,Hamed bin Rafda's rebellion [ar]
459,1928,1928,Haji Abdul Rahman Limbong's rebellion
460,1928,1929,Afghan Civil War (1928–1929)
461,1928,1931,Kongo-Wara rebellion
462,1929,1931,Kazakh revolts (1929-1931) [ru]
463,1929,1929,Escobar Rebellion
464,1929,1929,1929 Basmachi border raids on the Soviet Union
465,1929,1929,Chiang-Gui War Part of the Warlord Era
466,1929,1929,Afghan campaign of the Red Army (1929)
467,1929,1929,Sino-Soviet conflict (1929)
468,1929,1930,Alakat Uprising [ru]
469,1929,1929,1929 Kurdish rebellions[79]
470,1929,1931,Anti-Saqqawist campaigns in Kuhdaman and Herat
471,1929,1930,Women's War
472,1929,1929,Antananarivo uprising[7]
473,1929,1929,Persian tribal uprisings of 1929
474,1929,1929,Nejd Civil War[86]
475,1930,1935,Port Bergé rebellion[7]
476,1930,1930,Shinwari rebellion
477,1930,1930,1930 Kurdish rebellions[79]
478,1930,1930,Afridi Redshirt Rebellion
479,1930,1930,Kuhistan rebellion (February–April 1930)
480,1930,1931,Uprising of the Nghệ-Tĩnh Soviets
481,1930,1930,Hnov uprising [ru]
482,1930,1930,Tugsbuyant uprising [ru]
483,1930,1930,Muromtsevsky uprising [ru]
484,1930,1930,Khorinskoe uprising [ru]
485,1930,1930,Kuhistan rebellion (July 1930)
486,1930,1930,Yen Bai mutiny
487,1930,1930,Central Plains War Part of the Warlord Era
488,1930,1930,Chittagong armoury raid
489,1930,1930,Gugsa Wale's Rebellion
490,1930,1931,Nghe-Tinh Revolt
491,1930,1932,Saya San Rebellion
492,1930,1930,Afghan campaign of the Red Army (1930)
493,1930,1932,Sino-Tibetan War
494,1930,1930,Brazilian Revolution of 1930
495,1930,1930,Wushe Rebellion
496,1931,1933,Idrisid Emirate Rebellion [ar]
497,1931,1931,1931 Saudi–Yemeni border skirmish
498,1931,1931,Flour Revolt [pt]
499,1931,1931,Uranian peasant uprising [ru]
500,1931,1931,1931 Cyprus Revolt
501,1931,1931,Jafar Sultan revolt
502,1931,1931,Norte Grande insurrection
503,1931,1931,Chilean naval mutiny of 1931
504,1931/32,1932,Najran conflict
505,1931,1932,Japanese invasion of Manchuria
506,1931,1932,Ahmed Barzani revolt
507,1931,1934,Kumul Rebellion
508,1932,1932,Uukwambi uprising[8]
509,1932,1932,Annexation of Jimma[88]
510,1932,1932,Lesko uprising
511,1932,1932,Constitutionalist Revolution
512,1932,1932,Ecuadorian Civil War
513,1932,1932,January 28 Incident
514,1932,1932,Chechen uprising of 1932 [ru]
515,1932,1933,Two-Liu War[89][90] Part of the Warlord Era
516,1932,1932,1932 armed uprising in Mongolia
517,1932,1932,Kirghiz rebellion
518,1932,1932,1932 Salvadoran peasant uprising
519,1932,1932,Sanjurjada
520,1932,1933,Leticia Incident
521,1932,1935,Chaco War
522,1932,1932,Darre Khel revolt
523,1932,1932,Emu War
524,1932,1939,Soviet–Japanese border conflicts
525,1933,1933,1933 Mohmand revolt in Afghanistan[91]
526,1933,1933,Crazy Fakir's rebellion
527,1933,1936,Actions in Inner Mongolia (1933–1936)
528,1933,1933,Boworadet Rebellion
529,1933,1933,Kazym rebellion
530,1933,1933,Anarchist uprising in Spain (1933)
531,1933,1933,De Zeven Provinciën Mutiny
532,1934,1938,Second Cristero War [es]
533,1934,1934,Asturian Revolution
534,1934,1934,Mandalada [ru]
535,1934,1934,Soviet invasion of Xinjiang
536,1934,1934,Austrian Civil War
537,1934,1934,July Putsch
538,1934,1934,Events of 6 October
539,1934,1934,1934 Khamba Rebellion
540,1934,1934,Saudi–Yemeni War
541,1935,1935,Narrenrevolte [de]
542,1935,1935,Mohmand campaign of 1935
543,1935,1935,May 2 uprising
544,1935,1935,1935 Yazidi revolt
545,1935,1935,Goharshad Mosque rebellion
546,1935,1935,1935 Greek coup d'état attempt
547,1935,1936,1935–36 Iraqi Shia revolts
548,1935,1935,Brazilian uprising of 1935
549,1935,1936,Second Italo-Ethiopian War
550,1936,1936,1936 Iraqi coup d'état
551,1936,1936,Scythe Cross rebellion
552,1936,1936,1936 Naval Revolt (Portugal)
553,1936,1936,February 26 Incident
554,1936,1939,1936–1939 Arab revolt in Palestine
555,1936,1939,Spanish Civil War
556,1936,1939,Waziristan campaign (1936–1939)
557,1937,1939,Katawz rebellion[92]
558,1937,1937,Afghan tribal revolts of 1937[91]
559,1937,1937,Islamic rebellion in Xinjiang (1937)
560,1937,1937,Dieu Python movement
561,1937,1938,Dersim Rebellion
562,1937,1945,Second Sino-Japanese WarPart of World War II
563,1938,1938,Brazilian Integralist uprising of 1938 [pt]
564,1938,1939,Afghan tribal revolts of 1938[92][93]
565,1938,1938,1938 Greek coup d'état attempt
566,1938,1938,Sudeten German uprising
567,1939,1939,Hungarian Invasion of the Carpatho-Ukraine
568,1939,1939,Slovak–Hungarian War
569,1939,1965,Maquis insurgency
570,1939,1939,Italian invasion of Albania
571,1939,1945,World War II
572,1939,1939,1939 Ondonga uprising[8]
573,1939,1940,Winter WarPart of World War II
574,1940,1944,1940–1944 insurgency in Chechnya Part of World War II and the Chechen–Russian conflict
575,1940,1940,Czortków uprisingPart of World War II
576,1940,1940,Soviet occupation of the Baltic states (1940)Part of World War II
577,1940,1940,Soviet occupation of Bessarabia and Northern BukovinaPart of World War II
578,1940,1941,Franco-Thai WarPart of World War II
579,1941,1941,Legionnaires' Rebellion
580,1941,1941,Ecuadorian–Peruvian War
581,1941,1941,Anglo-Iraqi WarPart of World War II
582,1941,1944,Continuation WarPart of World War II
583,1941,1944,Hama Rashid revolt
584,1941,1941,June 1941 uprising in eastern HerzegovinaPart of World War II
585,1941,1941,Uprising in Serbia (1941)Part of World War II
586,1942,1954,Hukbalahap Rebellion
587,1943,1943,1943 Khuzestan revolt[96]
588,1943,1945,1943 Barzani revolt
589,1943,1945,Italian Civil WarPart of World War II
590,1943,1943,Woyane rebellion
591,1943,1944,Jesselton revoltPart of World War II
592,1943,1949,Ukrainian Insurgent Army insurgency
593,1944,1944,Palm Sunday Coup
594,1944,1945,1944–1945 Insurgency in Balochistan
595,1944,1947,Afghan tribal revolts of 1944–1947
596,1944,1945,Lapland WarPart of World War II
597,1944,1946,Anti-communist resistance in Poland (1944-1946)
598,1944,1947,Jewish insurgency in Palestine
599,1944,1944,Luluabourg and Jadotville Mutiny[97]
